event_id,machine_id,timestamp,product_code,quantity_produced,unit,shift
PE000001,M001,2026-01-01T07:14:00,PRD-A100,429,units,night
PE000002,M001,1900-01-01T13:02:00,PRD-A100,308,units,night
PE000003,M001,2026-01-01T06:45:00,PRD-D400,162,units,night
PE000004,M001,2026-01-01T08:51:00,PRD-D400,131,units,afternoon
PE000005,M001,2026-01-01T08:09:00,PRD-A100,102,units,afternoon
PE000006,M001,2026-01-01T03:22:00,PRD-A100,463,units,night
PE000007,M001,2026-01-01T14:34:00,PRD-C300,90,units,night
PE000008,M001,2026-01-01T19:56:00,PRD-A100,410,units,morning
PE000009,M001,2026-01-01T21:14:00,PRD-B200,487,units,morning
PE000010,M001,2026-01-01T12:17:00,PRD-C300,133,units,afternoon
PE000011,M001,2026-01-01T06:42:00,PRD-A100,381,units,night
PE000012,M001,2026-01-01T20:10:00,PRD-D400,286,units,afternoon
PE000013,M001,2026-01-01T20:44:00,PRD-A100,481,units,morning
PE000014,M001,2026-01-01T01:51:00,PRD-C300,158,units,morning
PE000015,M001,2026-01-01T20:31:00,PRD-B200,284,units,afternoon
PE000016,M001,2026-01-01T04:15:00,PRD-D400,432,units,night
PE000017,M001,2026-01-01T12:23:00,PRD-D400,310,units,morning
PE000018,M001,2026-01-01T01:55:00,PRD-D400,455,units,night
PE000019,M001,2026-01-01T02:24:00,PRD-C300,320,units,night
PE000020,M001,2026-01-01T00:43:00,PRD-C300,324,units,night
PE000021,M002,2026-01-01T10:07:00,PRD-C300,51,units,night
PE000022,M002,2026-01-01T05:32:00,PRD-B200,202,units,morning
PE000023,M002,2026-01-01T11:48:00,PRD-A100,321,units,night
PE000024,M002,1900-01-01T10:31:00,PRD-C300,499,units,morning
PE000025,M002,2026-01-01T01:15:00,PRD-D400,93,units,morning
PE000026,M002,2026-01-01T17:49:00,PRD-B200,331,units,afternoon
PE000027,M002,2026-01-01T16:55:00,PRD-B200,326,units,night
PE000028,M002,2026-01-01T09:25:00,PRD-D400,274,units,morning
