check_id,production_event_id,timestamp,result,defect_type,inspector_id
QC000001,PE000002,1900-01-01T13:02:00,pass,,INS04
QC000002,PE000003,2026-01-01T06:45:00,pass,,INS05
QC000003,PE000004,2026-01-01T08:51:00,pass,,INS05
QC000004,PE000005,2026-01-01T08:09:00,pass,,INS01
QC000005,PE000006,2026-01-01T03:22:00,pass,,INS05
QC000006,PE000007,2026-01-01T14:34:00,pass,,INS04
QC000007,PE000008,2026-01-01T19:56:00,pass,,INS01
QC000008,PE000009,2026-01-01T21:14:00,pass,,INS01
QC000009,PE000010,2026-01-01T12:17:00,fail,,INS05
QC000010,PE000011,2026-01-01T06:42:00,pass,,INS01
QC000011,PE000012,2026-01-01T20:10:00,pass,,INS01
QC000012,PE000013,2026-01-01T20:44:00,pass,,INS05
QC000013,PE000014,2026-01-01T01:51:00,pass,,INS03
QC000014,PE000015,2026-01-01T20:31:00,pass,,INS05
QC000015,PE000016,2026-01-01T04:15:00,pass,,INS05
QC000016,PE000019,2026-01-01T02:24:00,pass,,INS03
QC000017,PE000021,2026-01-01T10:07:00,pass,,INS04
QC000018,PE000022,2026-01-01T05:32:00,pass,,INS05
QC000019,PE000023,2026-01-01T11:48:00,pass,,INS02
QC000020,PE000024,1900-01-01T10:31:00,pass,,INS04
QC000021,PE000025,2026-01-01T01:15:00,pass,,INS02
QC000022,PE000026,2026-01-01T17:49:00,fail,material,INS01
QC000023,PE000027,2026-01-01T16:55:00,pass,,INS04
QC000024,PE000028,2026-01-01T09:25:00,pass,,INS02
QC000025,PE000029,2026-01-01T07:14:00,pass,,INS02
QC000026,PE000030,2026-01-01T07:00:00,pass,,INS01
QC000027,PE000031,2026-01-01T10:04:00,pass,,INS04
QC000028,PE000033,2026-01-01T13:12:00,pass,,INS02
QC000029,PE000034,2026-01-01T14:55:00,pass,,INS05
QC000030,PE000035,2026-01-01T12:46:00,pass,,INS04
QC000031,PE000036,2026-01-01T17:28:00,pass,,INS03
QC000032,PE000038,2026-01-01T07:10:00,pass,,INS02
QC000033,PE000039,1900-01-01T05:24:00,fail,,INS05
QC000034,PE000040,2026-01-01T13:44:00,pass,,INS02
QC000035,PE000041,2026-01-01T06:18:00,pass,,INS03
QC000036,PE000042,2026-01-01T10:03:00,pass,,INS04
QC000037,PE000043,2026-01-01T16:05:00,pass,,INS02
QC000038,PE000044,2026-01-01T03:56:00,pass,,INS05
QC000039,PE000047,2026-01-01T10:59:00,pass,,INS01
QC000040,PE000048,2026-01-01T17:13:00,pass,,INS02
QC000041,PE000049,2026-01-01T11:18:00,pass,,INS04
QC000042,PE000050,1900-01-01T20:33:00,pass,,INS05
QC000043,PE000052,2026-01-01T19:13:00,fail,,INS01
QC000044,PE000053,2026-01-01T15:16:00,pass,,INS03
QC000045,PE000054,2026-01-01T01:00:00,pass,,INS02
QC000046,PE000055,2026-01-01T14:35:00,fail,surface_finish,INS05
QC000047,PE000056,2026-01-01T04:34:00,pass,,INS04
QC000048,PE000057,2026-01-01T04:02:00,pass,,INS02
QC000049,PE000059,2026-01-01T23:09:00,pass,,INS01
QC000050,PE000060,2026-01-01T00:11:00,pass,,INS01
QC000051,PE000061,2026-01-01T05:50:00,pass,,INS04
QC000052,PE000062,2026-01-01T06:52:00,pass,,INS01
QC000053,PE000065,2026-01-01T03:56:00,pass,,INS05
QC000054,PE000066,2026-01-01T19:27:00,fail,dimension,INS03
QC000055,PE000068,2026-01-01T13:04:00,fail,assembly,
QC000056,PE000069,2026-01-01T03:46:00,pass,,INS04
QC000057,PE000071,2026-01-01T23:57:00,pass,,INS04
QC000058,PE000072,2026-01-01T09:13:00,pass,,INS02
QC000059,PE000073,2026-01-01T14:28:00,pass,,INS03
QC000060,PE000074,2026-01-01T02:18:00,pass,,INS03
QC000061,PE000075,2026-01-01T21:19:00,pass,,INS03
